OrderNo,CustomerCode,CustomerName,CustomerType,InvoiceDate,InvoiceNo,TransactionType,OrderStatus,ProductCode,ProductName,Uom,ItemPricePerUnit,ShippedQty,ShippedAmount,ConversionFactor,Point
1128331,PROFPIZ,PROFESSOR'S PIZZA,PK,2018-07-06 00:00:00,877853,Invoice,90,7CBL500,7CBL500 - **LASAGNE BOLOGN PASTA 7CHEFS 8 X 500GM,CTN,38.7500,1.0000,42.63,1.0000000,72
1127504,PROMAR,PROMAR FOODS,P`,2018-07-04 00:00:00,877038,Invoice,90,DDM,DDM - CHEESE MOZZ DEVONDALE / MURRAY 2 X 10KG,CTN,120.0000,5.0000,600.00,1.0000000,120
1127153,PROVHTL,AUSTRALIAN VENUE CO. LIMITED,M,2018-07-02 00:00:00,876570,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,99.9000,1.0000,99.90,1.0000000,100
1126946,QFFS1,MOCO FOOD SERVICE - NANDO'S,FD,2018-07-04 00:00:00,877310,Invoice,90,PACT1,PACT1 - TOMATO CRUSH POUCH MEDITERRANE 10KG,CTN,13.7700,100.0000,1377.00,1.0000000,30
1128163,RAGA2,RAGAZZI RESTAURANT,R2,2018-07-05 00:00:00,877505,Invoice,90,ASF12.5,ASF12.5 - SEMOLINA ALLIED MILLS 12.5KG,BAG,23.7500,1.0000,23.75,1.0000000,35
1128263,RIZPI,RIZZOS PIZZA & PASTA,RI,2018-07-05 00:00:00,877337,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,23.8000,1.0000,23.80,1.0000000,35
1155730,ROYALDH,ROYAL DERBY HOTEL,M,2018-10-12 00:00:00,900332,Invoice,90,BSC,BSC - CREAM SOUR LITE BULLA 5LT,TUB,27.2000,1.0000,27.20,1.0000000,40
1145177,SCOOZI,SCOOZI,Z9,2018-09-04 00:00:00,891532,Invoice,90,BBSDP,BBSDP - **PROSCIUTTO SAN DANIELE BARET KG (AVG 7.5KG),KG,28.7500,7.8200,224.83,1.0000000,60
1129995,SETCRA,THE SETTLEMENT AT CRANBOURNE,SR,2018-07-12 00:00:00,879070,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,PKT,6.7400,12.0000,80.88,1.0000000,7
1161558,SHAWPC4,SHOWCROSS PIZZA JOINT,SA,2018-11-01 00:00:00,904850,Invoice,90,AVF12.5,AVF12.5 - FLOUR PERFECTION ALLIED 12.5KG,BAG,13.2000,22.0000,290.40,1.0000000,35
1127596,SLICEOFITA,SLICE OF ITALY PIZZERIA,S/,2018-07-03 00:00:00,876903,Invoice,90,7CBL500,7CBL500 - **LASAGNE BOLOGN PASTA 7CHEFS 8 X 500GM,CTN,39.3000,1.0000,43.23,1.0000000,72
1128088,SOFIACAMB,SOFIA PIZZA HOUSE -CAMBERWELL,SO,2018-07-05 00:00:00,877407,Invoice,90,RPS4.1,RPS4.1 - SAUCE TOMATO PIZZA ROBO 4.1KG 3/CTN,CTN,4.0000,21.0000,252.00,3.0000000,10
1127706,SON,SON OF A PIZZAIOLO,S-,2018-07-04 00:00:00,877068,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,28.1000,5.0000,140.50,1.0000000,35
1203746,SOPRA3,SOPRANOS ON MAIN,SI,2019-04-08 00:00:00,940133,Invoice,90,BCT,BCT - TOMATO CRUSHED GEPPINO 3KG 6/CTN,CTN,4.5000,3.0000,81.00,6.0000000,5
1128253,SORRE,SORRENTO TRATTORIA PIZZA /PAST,M2,2018-07-05 00:00:00,877473,Invoice,90,ADPF12.5,ADPF12.5 - FLOUR PIZZA ALLIED 12.5KG,BAG,13.8000,10.0000,138.00,1.0000000,35
1127295,SOSTA,SOSTA CUCINA,SJ,2018-07-03 00:00:00,876898,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,25.5100,1.0000,25.51,1.0000000,35
1137108,SPADA,SPADA,SG,2018-08-03 00:00:00,884634,Invoice,90,GDM,GDM - GLOVE DISP VINYL CLR PDR MED 100's 10/CTN,PKT,3.5000,10.0000,38.50,1.0000000,3
1148936,STATELV,SHOWTIME EVENTS CENTRE,M,2018-09-17 00:00:00,894434,Invoice,90,BSHD,BSHD - DIP HOMMUS BLACK SWAN 2KG 3/CTN,BCKT,16.3100,1.0000,16.31,1.0000000,28
1127249,STEEPLES,STEEPLES MORNINGTON,M,2018-07-02 00:00:00,876591,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,PKT,6.7400,5.0000,33.70,1.0000000,7
1130716,STGE1,ST GEORGE SMALLGOODS - NANDO'S,FD,2018-07-18 00:00:00,880565,Invoice,90,PACT1,PACT1 - TOMATO CRUSH POUCH MEDITERRANE 10KG,CTN,13.7700,100.0000,1377.00,1.0000000,30
1126987,STHNKINGCP,KINGSTON MONASH HEALTH *CPU*,HP,2018-07-02 00:00:00,876652,Invoice,90,MSRRP,MSRRP - PEPPERS ROASTED RED SLICED MED 4.2KG 3/CTN,TIN,14.5000,15.0000,217.50,1.0000000,10
1127137,STNHTLKIT,AUSTRALIAN VENUE CO. LIMITED,M,2018-07-02 00:00:00,876590,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,26.5000,9.0000,238.50,1.0000000,35
1127864,STRATFORD,STRATFORD BAKEHOUSE,S#,2018-07-04 00:00:00,877077,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,CTN,23.3700,3.0000,210.33,3.0000000,35
1126703,STVINCE,ST. VINCENT'S HOSPITAL(MELB),HP,2018-07-02 00:00:00,876553,Invoice,90,GVCPFL,GVCPFL - GLOVE VINYL LGE CLEAR P/FREE H 100's 10/CTN,PKT,3.7500,10.0000,41.25,1.0000000,3
1127414,SUGO,SUGO 6,BP,2018-07-03 00:00:00,876878,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,CTN,25.2100,2.0000,151.26,3.0000000,35
1127198,SUGOGO,SUGO GOURMET PIZZA BAR,S[,2018-07-02 00:00:00,876576,Invoice,90,BGC,BGC - CHEESE GOATS SOIGNON 1KG 2/CTN,LOAF,23.8300,2.0000,47.66,1.0000000,12
1170403,TECOMA2,TECOMA CHARCOAL CHICKEN,TL,2018-12-04 00:00:00,912161,Invoice,90,BFHWN,BFHWN - CHICK WING NIBBLES F/HOT STE 1KG 6/CTN,PKT,12.2500,2.0000,24.50,1.0000000,15
1127126,TEMPLEKIT,TEMPLESTOWE HOTEL,M,2018-07-02 00:00:00,876542,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,99.9000,2.0000,199.80,1.0000000,100
1127979,TERRARKIT2,AUSTRALIAN VENUE CO. LIMITED,M,2018-07-04 00:00:00,877268,Invoice,90,BCC5LT,BCC5LT - CREAM COOKING BULLA 5LT 3/CTN,CTN,22.2300,3.0000,200.07,3.0000000,35
1173122,TERRYW,TERRY WOK AND PIZZA,NT,2018-12-11 00:00:00,914377,Invoice,90,CDHSSH,CDHSSH - HAM SHAVED HARDWOOD SMOKED 1KG 4/CTN,PKT,19.4000,1.0000,19.40,1.0000000,12
1167141,THECOV2,THE COVE HOTEL,M,2018-11-22 00:00:00,909692,Invoice,90,AJP,AJP - JALAPENO POPPER CRUMBED 1KG 5/CTN,INN,18.5000,1.0000,18.50,1.0000000,40
1143733,THEGOL,THE GOLDEN HEN,NT,2018-08-29 00:00:00,890287,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,CTN,28.1000,1.0000,84.30,3.0000000,35
1130527,THEIOTHEO,THEIO THEO REASTAURANT,TT,2018-07-13 00:00:00,879348,Invoice,90,GPF12.5,GPF12.5 - FLOUR BAKERS PREMIUM GEPPINO 12.5KG,BAG,12.8000,10.0000,128.00,1.0000000,35
1127395,THEMOOR,THE MOOR'S HEAD,M?,2018-07-04 00:00:00,877069,Invoice,90,BCT,BCT - TOMATO CRUSHED GEPPINO 3KG 6/CTN,CTN,3.9000,3.0000,70.20,6.0000000,5
1131586,THESMITH,AUSTRALIAN VENUE CO. LIMITED,PI,2018-07-17 00:00:00,880144,Invoice,90,GUB,GUB - BUTTER UNSALTED W/STAR 1.5KG 8/CTN,BLK,18.1500,10.0000,181.50,1.0000000,14.3125
1127881,TIGER,G'DAY TIGER,IS,2018-07-04 00:00:00,877118,Invoice,90,CBSC,CBSC - CHEESE MOZZ SCAMORZA BIANCA CU 1KG 16/CTN,LOG,13.7500,2.0000,27.50,1.0000000,20
1190004,TUBBSYS,TUBBSYS WOOD FIRED PIZZA,TB,2019-02-15 00:00:00,928932,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,99.0000,1.0000,99.00,1.0000000,100
1127250,VINHTLKIT,AUSTRALIAN VENUE CO. LIMITED,M,2018-07-02 00:00:00,876535,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,99.9000,1.0000,99.90,1.0000000,100
1127577,VPBM,VINNIES PIZZA BOYS - MT ELIZA,V1,2018-07-03 00:00:00,876961,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,CTN,7.6300,2.0000,183.12,12.0000000,7
1209272,WALLPIZZA,WALL STREET PIZZA CO,WA,2019-05-01 00:00:00,945019,Invoice,90,ASF12.5,ASF12.5 - SEMOLINA ALLIED MILLS 12.5KG,BAG,26.8500,1.0000,26.85,1.0000000,35
1127474,WISH2,WISHBONES CHARCOAL CHICKEN,WI,2018-07-03 00:00:00,876984,Invoice,90,CDWD,CDWD - CHICKEN WINGS DEVIL INGHAM 1KG 5/CTN,CTN,11.5000,1.0000,57.50,5.0000000,15
1215793,WOODSTCKC2,WOODSTOCK PIZZA HEAD OFFICE,WS,2019-05-24 00:00:00,950133,Invoice,90,ATPCCM,ATPCCM - CRAB CLAW MEAT PHILLIPS A&T 227GM 6/CTN,CTN,11.9700,1.0000,71.82,6.0000000,10
1215640,WOODSTCKE2,WOODSTOCK PIZZA HEAD OFFICE,WS,2019-05-24 00:00:00,950212,Invoice,90,ATPCCM,ATPCCM - CRAB CLAW MEAT PHILLIPS A&T 227GM 6/CTN,CTN,11.9700,1.0000,71.82,6.0000000,10
1127148,XPRESSCO,XPRESS GOURMET PIZZA - COWES,EX,2018-07-02 00:00:00,876485,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,CTN,6.1900,1.0000,74.28,12.0000000,7
1145660,XPRESSRY,|XPRESS GOURMET PIZZA, RYE|,EX,2018-09-05 00:00:00,891720,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,CTN,6.1900,1.0000,74.28,12.0000000,7
1127096,YBS,YBS FOOD SERVICES PTY LTD,UL,2018-07-02 00:00:00,876432,Invoice,90,AEYCC,AEYCC - G/F CREAM COOKING EX YIELD ANC 12 X 1LT,CTN,74.0588,1.0000,74.06,1.0000000,84
1127129,ZAGBALL,ZAGAME'S BALLARAT CLUB HOTEL,M,2018-07-03 00:00:00,876790,Invoice,90,AEYCC,AEYCC - G/F CREAM COOKING EX YIELD ANC 12 X 1LT,CTN,73.0000,1.0000,73.00,1.0000000,84
1127239,ZAGBO,ZAGAME'S BORONIA HOTEL,M,2018-07-02 00:00:00,876670,Invoice,90,BTBN,BTBN - NUGGET TEMPURA STEGGLES 1KG 6/CTN,BAG,10.2000,24.0000,244.80,1.0000000,15
1127128,ZAGBW,ZAGAME'S BERWICK SPRINGS HOTEL,M,2018-07-02 00:00:00,876469,Invoice,90,AEYCC,AEYCC - G/F CREAM COOKING EX YIELD ANC 12 X 1LT,CTN,73.0000,2.0000,146.00,1.0000000,84
1127224,ZAGCAUL,ZAGAME'S CAULFIELD HOTEL,M,2018-07-02 00:00:00,876537,Invoice,90,BG400,BG400 - BALSAMIC ITALIAN GLAZE KNORR 500G 6/CTN,BTL,10.8600,2.0000,21.72,1.0000000,6
1127213,ZAGRSV,ZAGAME'S RESERVOIR,M,2018-07-02 00:00:00,876546,Invoice,90,AEYCC,AEYCC - G/F CREAM COOKING EX YIELD ANC 12 X 1LT,CTN,73.0000,1.0000,73.00,1.0000000,84
1127933,ZANT,ZANTELLII PIZZA,ZN,2018-07-04 00:00:00,877168,Invoice,90,AVF12.5,AVF12.5 - FLOUR PERFECTION ALLIED 12.5KG,BAG,14.3500,4.0000,57.40,1.0000000,35
1168848,ZERO95DR,ZERO 95 DROMANA,,2018-11-28 00:00:00,910902,Invoice,90,MYC500,MYC500 - G/F YEAST INSTANT DRIED MAURIP 500GM 20/CTN,PKT,3.4200,3.0000,10.26,1.0000000,8
